Plan Mundanaira;rm;813374.7;186967.3;1862.727;s
Piz Nair;rm;811905.294;179541.026;2951.004;s
Mot Nair;rm;803425.137;180454.59;2292.081;s
God Nair;rm;801020.1;173615.6;1735.254;s
Lej Nair;rm;797451.25;143767.561;2223.079;s
Grippa Naira;rm;794347.665;174161.722;2983.592;s
Laviner da Fontauna Naira;rm;794153.453;159981.455;2597.151;s
Lai Nair;rm;791826.779;180579.576;2382.074;s
Giandra Naira;rm;788089;156566.5;1721.068;s
Munt Platta Naira;rm;786676.7;170755;2622.384;s
Sass Nair;rm;786659.3;147786;5000;s
Gianda Naira;rm;784350.1;150346.3;1929.194;s
Crap Nair;rm;783301.3;148830.5;5000;s
Gianda Naira;rm;782882.4;159728.3;2032.881;s
Lej Nair;rm;782774.499;149379.982;1864.364;s
Pascul Sass Nair;rm;782463.5;154852.6;2504.994;s
Botta Naira;rm;782449.4;157206.4;5000;s
Sass Nair;rm;782245.3;155613.4;2702.596;s
Lej Nair;rm;781933.25;140464.726;2638.611;s
Piz Nair Pitschen;rm;781250.981;153432.253;2877.041;s
Gianda Piz Nair;rm;780691.9;152814.5;2667.746;s
Piz Nair;rm;780249.703;153264.404;3056.014;s
God Nair;rm;777589.6;145441.1;1934.849;s
Chüern Nair;rm;775825.293;150040.505;2810.063;s
Lej Nair;rm;773255.796;144253.091;2456.317;s
Plaun Crappa Naira;rm;767283.1;173225.4;1733.253;s
Got Nair;rm;766351.7;168640.5;1596.315;s
Pizza Naira;rm;766103.609;177448.964;2868.916;s
Terranaira;rm;760211.4;173368;1100.396;s
Piz Nair;rm;697156.038;172756.378;3059.352;s
Piz Nair;rm;694926.137;162760.149;2763.956;s
Crap Alv;rm;814044.321;200495;2537.096;w
Davos l'Alv;rm;797204.6;147464.3;2788.564;w
Costa Piz Alv;rm;796076;146813.4;2282.894;w
Laviners dal Piz Alv;rm;796048.2;147582.4;2265.201;w
Sass Alv;rm;784365.611;157194.508;5000;w
Crap Alv;rm;783472.3;148409.2;5000;w
Pascul dal Crap Alv;rm;783021.6;148190;2051.64;w
Piz dal Lej Alv;rm;782781.731;140039.444;3197.061;w
Lej Alv;rm;781899.469;140214.321;2639.075;w
Lej Alv;rm;781778.148;154098.478;2525.178;w
Lais digl Crap Alv;rm;781402.467;160458.029;2292.2;w
Crap Alv;rm;781015.321;161647.796;2031.575;w
Fuorcla Crap Alv;rm;780826.392;159923.407;2463.32;w
Ovel Alv;rm;780143.515;160954.044;2130.904;w
Lai Alv;rm;780093.245;160222.578;2456.16;w
Crap Alv;rm;776259.3;152317.6;2786.241;w
Corn Alv;rm;774882.015;151790.767;2980.025;w
Crap Alv;rm;766684.3;164228.1;1689.141;w
Ual Alv;rm;751373.456;152537.389;2089.567;w
Crap Alv;rm;711424.8;168856;2224.55;w
Crap Alv;rm;710728.6;167123;2041.116;w
Lai Alv;rm;703250.489;174323.119;2488.131;w
Piz Alv;rm;695054.799;159407.049;2769.491;w
Sassi Gialli;it;706784.251;106723.047;1449.596;ge
Gualdo Verde;it;714801.2;142216.5;1638.318;gr
Pizzo Verde;it;699001.305;127580.715;1956.905;gr
Piano Verde;it;694133.4;153787.1;1967.893;gr
Verda;it;691850.269;134652.253;900.954;gr
Piano Verde;it;684823.8;131515.3;1904.129;gr
Pianca Verde;it;680147.1;123214.2;1894.985;gr
Cima da li Gandi Rossi;it;809225.544;129718.698;2832.999;r
Terri Rossi;it;807671.9;141340.9;2514.254;r
Gandi Rossi;it;807655.1;129693.3;2213.133;r
Motta Rossa;it;805864.445;139521.231;2429.564;r
Cima di Rosso;it;805365.701;135676.795;2858.036;r
Ganda Rossa;it;801376.5;143757.8;2080.951;r
Terra Rossa;it;799378.3;136858.6;2284.221;r
Motta Rossa;it;797993.059;135408.773;2563.04;r
Cima di Rosso;it;775607.367;130894.017;3366.004;r
Monte Rosso;it;775515.924;132726.786;3088.034;r
Pizzi dei Rossi;it;775462.841;135348.56;3027.035;r
Laghetto dei Rossi;it;775426.624;136520.273;2365.268;r
Vadrec dei Rossi;it;775278.694;135626.863;2779.015;r
Ganda Rossa;it;761868.3;132045.9;1565.234;r
Lan Plotta Rossa;it;759332.494;138228.949;2682.981;r
